No,X,A,rho,V,T,p,Ma,mdot
1,0.000,5.950,1.000,0.100,1.000,0.000,0.100,0.595
2,0.100,5.312,0.969,0.207,0.977,0.000,0.209,1.063
3,0.200,4.718,0.937,0.311,0.954,0.000,0.318,1.373
4,0.300,4.168,0.906,0.412,0.931,0.000,0.427,1.555
5,0.400,3.662,0.874,0.511,0.907,0.000,0.536,1.635
6,0.500,3.200,0.843,0.607,0.884,0.000,0.645,1.636
7,0.600,2.782,0.812,0.700,0.861,0.000,0.754,1.580
8,0.700,2.408,0.780,0.790,0.838,0.000,0.863,1.484
9,0.800,2.078,0.749,0.877,0.815,0.000,0.972,1.365
10,0.900,1.792,0.717,0.962,0.792,0.000,1.081,1.237
11,1.000,1.550,0.686,1.043,0.769,0.000,1.190,1.109
12,1.100,1.352,0.655,1.122,0.745,0.000,1.299,0.993
13,1.200,1.198,0.623,1.197,0.722,0.000,1.408,0.893
14,1.300,1.088,0.592,1.268,0.699,0.000,1.517,0.817
15,1.400,1.022,0.560,1.337,0.676,0.000,1.626,0.766
16,1.500,1.000,0.529,1.402,0.653,0.000,1.735,0.742
17,1.600,1.022,0.498,1.463,0.630,0.000,1.844,0.744
18,1.700,1.088,0.466,1.521,0.607,0.000,1.953,0.772
19,1.800,1.198,0.435,1.575,0.583,0.000,2.062,0.820
20,1.900,1.352,0.403,1.625,0.560,0.000,2.171,0.886
21,2.000,1.550,0.372,1.671,0.537,0.000,2.280,0.964
22,2.100,1.792,0.341,1.713,0.514,0.000,2.389,1.045
23,2.200,2.078,0.309,1.750,0.491,0.000,2.498,1.125
24,2.300,2.408,0.278,1.783,0.468,0.000,2.607,1.193
25,2.400,2.782,0.246,1.811,0.445,0.000,2.716,1.241
26,2.500,3.200,0.215,1.834,0.421,0.000,2.825,1.262
27,2.600,3.662,0.184,1.852,0.398,0.000,2.934,1.245
28,2.700,4.168,0.152,1.864,0.375,0.000,3.043,1.182
29,2.800,4.718,0.121,1.870,0.352,0.000,3.152,1.066
30,2.900,5.312,0.089,1.870,0.329,nan,3.261,0.888
31,3.000,5.950,0.058,1.864,0.306,0.000,3.370,0.643
