No,X,A,rho,V,T,p,Ma,mdot
1,0.000,5.950,1.000,0.108,1.000,1.000,0.108,0.640
2,0.100,5.312,0.954,0.210,0.972,0.927,0.213,1.063
3,0.200,4.718,0.927,0.312,0.950,0.881,0.320,1.363
4,0.300,4.168,0.900,0.411,0.929,0.836,0.427,1.542
5,0.400,3.662,0.872,0.508,0.908,0.792,0.534,1.624
6,0.500,3.200,0.845,0.603,0.886,0.749,0.640,1.629
7,0.600,2.782,0.817,0.695,0.865,0.707,0.747,1.579
8,0.700,2.408,0.789,0.784,0.843,0.665,0.854,1.489
9,0.800,2.078,0.761,0.870,0.822,0.625,0.960,1.376
10,0.900,1.792,0.732,0.954,0.800,0.585,1.067,1.251
11,1.000,1.550,0.702,1.035,0.778,0.546,1.174,1.126
12,1.100,1.352,0.671,1.113,0.755,0.506,1.281,1.009
13,1.200,1.198,0.638,1.188,0.731,0.467,1.389,0.908
14,1.300,1.088,0.604,1.260,0.707,0.427,1.498,0.828
15,1.400,1.022,0.568,1.328,0.682,0.388,1.609,0.772
16,1.500,1.000,0.532,1.394,0.656,0.349,1.720,0.741
17,1.600,1.022,0.495,1.455,0.631,0.312,1.833,0.737
18,1.700,1.088,0.460,1.514,0.605,0.278,1.945,0.757
19,1.800,1.198,0.426,1.568,0.581,0.247,2.058,0.800
20,1.900,1.352,0.393,1.619,0.556,0.219,2.170,0.860
21,2.000,1.550,0.362,1.666,0.533,0.193,2.282,0.934
22,2.100,1.792,0.331,1.709,0.510,0.169,2.393,1.015
23,2.200,2.078,0.302,1.748,0.487,0.147,2.504,1.096
24,2.300,2.408,0.272,1.782,0.465,0.127,2.614,1.170
25,2.400,2.782,0.243,1.812,0.443,0.108,2.724,1.227
26,2.500,3.200,0.214,1.838,0.421,0.090,2.834,1.260
27,2.600,3.662,0.185,1.858,0.398,0.074,2.944,1.260
28,2.700,4.168,0.156,1.874,0.376,0.059,3.055,1.218
29,2.800,4.718,0.126,1.884,0.354,0.045,3.166,1.124
30,2.900,5.312,0.097,1.889,0.332,0.032,3.280,0.972
31,3.000,5.950,0.067,1.895,0.309,0.021,3.406,0.758
