No,X,A,rho,V,T,p,Ma,mdot,U1,U2,U3
1,0.000,5.950,1.000,0.099,1.000,1.000,0.099,0.590,5.950,0.590,14.916
2,0.100,5.312,1.000,0.111,1.000,1.000,0.111,0.590,5.312,0.590,13.326
3,0.200,4.718,1.000,0.125,1.000,1.000,0.125,0.590,4.718,0.590,11.847
4,0.300,4.168,1.000,0.142,1.000,1.000,0.142,0.590,4.168,0.590,10.478
5,0.400,3.662,1.000,0.161,1.000,1.000,0.161,0.590,3.662,0.590,9.222
6,0.500,3.200,1.000,0.184,1.000,1.000,0.184,0.590,3.200,0.590,8.076
7,0.600,2.782,0.963,0.220,0.983,0.947,0.222,0.590,2.680,0.590,6.679
8,0.700,2.408,0.927,0.264,0.967,0.896,0.269,0.590,2.232,0.590,5.502
9,0.800,2.078,0.890,0.319,0.950,0.846,0.327,0.590,1.850,0.590,4.525
10,0.900,1.792,0.854,0.386,0.933,0.797,0.399,0.590,1.530,0.590,3.728
11,1.000,1.550,0.817,0.466,0.916,0.749,0.487,0.590,1.266,0.590,3.094
12,1.100,1.352,0.780,0.559,0.900,0.702,0.590,0.590,1.055,0.590,2.604
13,1.200,1.198,0.744,0.662,0.883,0.657,0.705,0.590,0.891,0.590,2.241
14,1.300,1.088,0.707,0.767,0.866,0.613,0.824,0.590,0.769,0.590,1.983
15,1.400,1.022,0.671,0.861,0.850,0.570,0.934,0.590,0.685,0.590,1.811
16,1.500,1.000,0.634,0.931,0.833,0.528,1.020,0.590,0.634,0.590,1.705
17,1.600,1.022,0.595,0.970,0.798,0.475,1.086,0.590,0.608,0.590,1.614
18,1.700,1.088,0.556,0.975,0.763,0.424,1.116,0.590,0.605,0.590,1.557
19,1.800,1.198,0.518,0.951,0.728,0.377,1.115,0.590,0.620,0.590,1.521
20,1.900,1.352,0.479,0.911,0.693,0.332,1.095,0.590,0.647,0.590,1.498
21,2.000,1.550,0.440,0.865,0.658,0.289,1.067,0.590,0.682,0.590,1.479
22,2.100,1.792,0.401,0.821,0.623,0.250,1.040,0.590,0.719,0.590,1.458
23,2.200,2.078,0.362,0.783,0.588,0.213,1.022,0.590,0.753,0.590,1.430
24,2.300,2.408,0.324,0.757,0.552,0.179,1.018,0.590,0.779,0.590,1.389
25,2.400,2.782,0.285,0.744,0.517,0.147,1.035,0.590,0.793,0.590,1.333
26,2.500,3.200,0.246,0.749,0.482,0.119,1.079,0.590,0.788,0.590,1.259
27,2.600,3.662,0.207,0.777,0.447,0.093,1.162,0.590,0.759,0.590,1.170
28,2.700,4.168,0.169,0.840,0.412,0.069,1.308,0.590,0.702,0.590,1.071
29,2.800,4.718,0.130,0.964,0.377,0.049,1.570,0.590,0.612,0.590,0.975
30,2.900,5.312,0.091,1.221,0.342,0.031,2.088,0.590,0.483,0.590,0.917
31,3.000,5.950,0.052,1.901,0.307,0.016,3.432,0.590,0.310,0.590,1.023
