No,X,A,rho,V,T,p,Ma,mdot,U1,U2,U3
1,0.000,5.950,1.000,0.099,1.000,1.000,0.099,0.589,5.950,0.589,14.916
2,0.100,5.312,1.000,0.111,1.000,1.000,0.111,0.588,5.312,0.588,13.326
3,0.200,4.718,1.000,0.125,1.000,1.000,0.125,0.588,4.718,0.588,11.846
4,0.300,4.168,1.000,0.141,1.000,1.000,0.141,0.588,4.168,0.588,10.478
5,0.400,3.662,1.000,0.160,1.000,1.000,0.160,0.587,3.662,0.587,9.221
6,0.500,3.200,0.999,0.186,1.000,0.999,0.186,0.596,3.198,0.596,8.071
7,0.600,2.782,0.964,0.226,0.983,0.948,0.228,0.607,2.681,0.607,6.687
8,0.700,2.408,0.927,0.270,0.967,0.896,0.274,0.602,2.232,0.602,5.508
9,0.800,2.078,0.890,0.323,0.950,0.846,0.332,0.598,1.850,0.598,4.530
10,0.900,1.792,0.854,0.388,0.933,0.797,0.402,0.594,1.530,0.594,3.731
11,1.000,1.550,0.817,0.466,0.917,0.749,0.487,0.591,1.267,0.591,3.095
12,1.100,1.352,0.781,0.557,0.900,0.702,0.587,0.588,1.055,0.588,2.603
13,1.200,1.198,0.744,0.657,0.883,0.657,0.699,0.586,0.891,0.586,2.237
14,1.300,1.088,0.707,0.761,0.866,0.612,0.817,0.585,0.769,0.585,1.977
15,1.400,1.022,0.670,0.856,0.849,0.569,0.929,0.586,0.685,0.586,1.806
16,1.500,1.000,0.633,0.930,0.834,0.528,1.019,0.589,0.633,0.589,1.704
17,1.600,1.022,0.595,0.978,0.800,0.476,1.093,0.594,0.608,0.594,1.623
18,1.700,1.088,0.556,0.989,0.765,0.426,1.130,0.598,0.605,0.598,1.572
19,1.800,1.198,0.517,0.970,0.730,0.378,1.136,0.602,0.620,0.602,1.540
20,1.900,1.352,0.479,0.933,0.695,0.333,1.119,0.604,0.647,0.604,1.519
21,2.000,1.550,0.440,0.887,0.660,0.290,1.092,0.605,0.682,0.605,1.500
22,2.100,1.792,0.401,0.842,0.624,0.251,1.065,0.605,0.719,0.605,1.479
23,2.200,2.078,0.362,0.803,0.589,0.214,1.046,0.605,0.753,0.605,1.449
24,2.300,2.408,0.324,0.775,0.554,0.179,1.041,0.604,0.780,0.604,1.407
25,2.400,2.782,0.285,0.761,0.518,0.148,1.056,0.603,0.793,0.603,1.349
26,2.500,3.200,0.246,0.763,0.483,0.119,1.098,0.601,0.788,0.601,1.273
27,2.600,3.662,0.207,0.788,0.448,0.093,1.177,0.598,0.760,0.598,1.180
28,2.700,4.168,0.169,0.844,0.412,0.069,1.315,0.593,0.703,0.593,1.074
29,2.800,4.718,0.130,0.951,0.375,0.049,1.554,0.584,0.614,0.584,0.963
30,2.900,5.312,0.092,1.147,0.326,0.030,2.008,0.560,0.488,0.560,0.848
31,3.000,5.950,0.061,1.479,0.196,0.012,3.342,0.537,0.363,0.537,0.734
