No	X	A	rho	V	T	p	Ma	mdot	U1	U2	U3
1	0.000	5.950	1.000	0.098	1.000	1.000	0.098	0.584	5.950	0.584	14.915
2	0.100	5.312	0.999	0.110	1.000	0.998	0.110	0.584	5.305	0.584	13.302
3	0.200	4.718	0.997	0.124	0.999	0.996	0.124	0.584	4.704	0.584	11.798
4	0.300	4.168	0.995	0.141	0.998	0.993	0.141	0.584	4.147	0.584	10.403
5	0.400	3.662	0.992	0.161	0.997	0.989	0.161	0.584	3.632	0.584	9.117
6	0.500	3.200	0.988	0.185	0.995	0.983	0.185	0.584	3.161	0.584	7.939
7	0.600	2.782	0.982	0.214	0.993	0.975	0.215	0.585	2.732	0.585	6.868
8	0.700	2.408	0.974	0.249	0.989	0.964	0.251	0.585	2.345	0.585	5.903
9	0.800	2.078	0.962	0.292	0.985	0.948	0.295	0.585	2.000	0.585	5.043
10	0.900	1.792	0.946	0.345	0.978	0.925	0.349	0.585	1.696	0.585	4.287
11	1.000	1.550	0.923	0.409	0.968	0.894	0.415	0.585	1.431	0.585	3.631
12	1.100	1.352	0.891	0.486	0.954	0.850	0.497	0.585	1.204	0.585	3.073
13	1.200	1.198	0.847	0.577	0.935	0.792	0.597	0.585	1.014	0.585	2.607
14	1.300	1.088	0.788	0.682	0.908	0.716	0.716	0.585	0.858	0.585	2.228
15	1.400	1.022	0.716	0.800	0.873	0.626	0.856	0.586	0.732	0.586	1.926
16	1.500	1.000	0.643	0.910	0.836	0.538	0.995	0.585	0.643	0.585	1.717
17	1.600	1.022	0.549	1.042	0.784	0.431	1.177	0.585	0.562	0.585	1.528
18	1.700	1.088	0.463	1.161	0.732	0.339	1.357	0.585	0.504	0.585	1.398
19	1.800	1.198	0.385	1.269	0.679	0.261	1.540	0.585	0.461	0.585	1.303
20	1.900	1.352	0.317	1.366	0.628	0.199	1.723	0.586	0.429	0.586	1.233
21	2.000	1.550	0.261	1.450	0.581	0.151	1.902	0.586	0.404	0.586	1.181
22	2.100	1.792	0.215	1.522	0.538	0.115	2.076	0.586	0.385	0.586	1.141
23	2.200	2.078	0.178	1.585	0.499	0.089	2.244	0.586	0.370	0.586	1.111
24	2.300	2.408	0.149	1.639	0.464	0.069	2.405	0.586	0.358	0.586	1.087
25	2.400	2.782	0.125	1.685	0.433	0.054	2.560	0.586	0.348	0.586	1.068
26	2.500	3.200	0.106	1.725	0.406	0.043	2.707	0.586	0.340	0.586	1.053
27	2.600	3.662	0.091	1.760	0.382	0.035	2.849	0.586	0.333	0.586	1.040
28	2.700	4.168	0.079	1.790	0.360	0.028	2.983	0.586	0.328	0.586	1.029
29	2.800	4.718	0.068	1.818	0.340	0.023	3.115	0.586	0.322	0.586	1.020
30	2.900	5.312	0.060	1.840	0.324	0.019	3.234	0.586	0.319	0.586	1.013
31	3.000	5.950	0.053	1.863	0.306	0.016	3.367	0.586	0.315	0.586	1.006
