No	X	A	rho	V	T	p	Ma	mdot	U1	U2	U3
1	0.000	5.950	1.000	0.099	1.000	1.000	0.099	0.590	5.950	0.590	14.916
2	0.100	5.312	1.000	0.111	1.000	1.000	0.111	0.590	5.312	0.590	13.326
3	0.200	4.718	1.000	0.125	1.000	1.000	0.125	0.590	4.718	0.590	11.847
4	0.300	4.168	1.000	0.142	1.000	1.000	0.142	0.590	4.168	0.590	10.478
5	0.400	3.662	1.000	0.161	1.000	1.000	0.161	0.590	3.662	0.590	9.222
6	0.500	3.200	1.000	0.184	1.000	1.000	0.184	0.590	3.200	0.590	8.076
7	0.600	2.782	0.963	0.220	0.983	0.947	0.222	0.590	2.680	0.590	6.679
8	0.700	2.408	0.927	0.264	0.967	0.896	0.269	0.590	2.232	0.590	5.502
9	0.800	2.078	0.890	0.319	0.950	0.846	0.327	0.590	1.850	0.590	4.525
10	0.900	1.792	0.854	0.386	0.933	0.797	0.399	0.590	1.530	0.590	3.728
11	1.000	1.550	0.817	0.466	0.916	0.749	0.487	0.590	1.266	0.590	3.094
12	1.100	1.352	0.780	0.559	0.900	0.702	0.590	0.590	1.055	0.590	2.604
13	1.200	1.198	0.744	0.662	0.883	0.657	0.705	0.590	0.891	0.590	2.241
14	1.300	1.088	0.707	0.767	0.866	0.613	0.824	0.590	0.769	0.590	1.983
15	1.400	1.022	0.671	0.861	0.850	0.570	0.934	0.590	0.685	0.590	1.811
16	1.500	1.000	0.634	0.931	0.833	0.528	1.020	0.590	0.634	0.590	1.705
17	1.600	1.022	0.564	1.024	0.784	0.442	1.156	0.590	0.576	0.590	1.552
18	1.700	1.088	0.494	1.099	0.735	0.363	1.282	0.590	0.537	0.590	1.440
19	1.800	1.198	0.423	1.163	0.686	0.290	1.405	0.590	0.507	0.590	1.350
20	1.900	1.352	0.353	1.236	0.637	0.225	1.548	0.590	0.478	0.590	1.270
21	2.000	1.550	0.283	1.345	0.588	0.166	1.755	0.590	0.439	0.590	1.200
22	2.100	1.792	0.589	0.559	0.940	0.554	0.576	0.590	1.056	0.590	2.711
23	2.200	2.078	0.579	0.490	0.933	0.540	0.508	0.590	1.203	0.590	3.010
24	2.300	2.408	0.569	0.431	0.927	0.527	0.447	0.590	1.370	0.590	3.353
25	2.400	2.782	0.559	0.380	0.921	0.514	0.396	0.590	1.554	0.590	3.735
26	2.500	3.200	0.548	0.336	0.915	0.502	0.352	0.590	1.755	0.590	4.151
27	2.600	3.662	0.538	0.299	0.909	0.489	0.314	0.590	1.970	0.590	4.599
28	2.700	4.168	0.528	0.268	0.902	0.476	0.282	0.590	2.200	0.590	5.074
29	2.800	4.718	0.518	0.242	0.896	0.464	0.255	0.590	2.442	0.590	5.571
30	2.900	5.312	0.507	0.219	0.890	0.452	0.232	0.590	2.695	0.590	6.087
31	3.000	5.950	0.497	0.199	0.884	0.439	0.212	0.590	2.958	0.590	6.617
